SOURCE LANGUAGE,TARGET LANGUAGE,TRANSLATION ENGINE,IS PREFERRED ENGINE?
af,nl,Apertium,True
an,ca,Apertium,False
an,es,Apertium,False
ar,mt,Apertium,True
ast,es,Apertium,False
be,ru,Apertium,True
bg,mk,Apertium,True
br,fr,Apertium,False
ca,an,Apertium,False
ca,en,Apertium,False
ca,eo,Apertium,False
ca,es,Apertium,False
ca,fr,Apertium,True
ca,oc,Apertium,True
ca,pt,Apertium,True
ca,simple,Apertium,False
ca,sc,Apertium,True
crh-latn,tr,Apertium,False
cy,en,Apertium,False
cy,simple,Apertium,False
da,nb,Apertium,False
da,nn,Apertium,False
da,sv,Apertium,False
en,ca,Apertium,False
en,eo,Apertium,False
en,es,Apertium,False
en,gl,Apertium,True
en,sh,Apertium,False
eo,en,Apertium,False
eo,simple,Apertium,False
es,an,Apertium,False
es,ast,Apertium,False
es,ca,Apertium,True
es,en,Apertium,False
es,eo,Apertium,False
es,fr,Apertium,True
es,gl,Apertium,True
es,it,Apertium,True
es,oc,Apertium,False
es,pt,Apertium,True
es,simple,Apertium,False
eu,en,Apertium,False
eu,es,Apertium,False
eu,simple,Apertium,False
fr,ca,Apertium,False
fr,eo,Apertium,False
fr,es,Apertium,False
fr,oc,Apertium,True
gl,en,Apertium,False
gl,es,Apertium,False
gl,pt,Apertium,True
gl,simple,Apertium,False
hi,ur,Apertium,True
id,ms,Apertium,True
is,en,Apertium,False
is,simple,Apertium,False
is,sv,Apertium,True
it,ca,Apertium,False
it,es,Apertium,False
it,sc,Apertium,True
kk,tt,Apertium,True
mk,bg,Apertium,True
mk,sr,Apertium,True
ms,id,Apertium,True
mt,ar,Apertium,True
nb,da,Apertium,False
nb,nn,Apertium,False
nb,sv,Apertium,False
nl,af,Apertium,True
nn,da,Apertium,False
nn,nb,Apertium,False
nn,sv,Apertium,False
oc,ca,Apertium,False
oc,es,Apertium,False
pt,ca,Apertium,True
pt,es,Apertium,False
pt,gl,Apertium,False
pl,szl,Apertium,False
ro,es,Apertium,False
ru,be,Apertium,False
ru,uk,Apertium,False
se,nb,Apertium,False
sh,en,Apertium,False
sh,simple,Apertium,False
sh,sl,Apertium,True
simple,ca,Apertium,False
simple,eo,Apertium,False
simple,es,Apertium,False
simple,gl,Apertium,False
simple,sh,Apertium,False
sl,sh,Apertium,False
sl,sr,Apertium,True
sv,da,Apertium,True
sv,is,Apertium,True
sv,nb,Apertium,False
sv,nn,Apertium,False
szl,pl,Apertium,False
tt,kk,Apertium,True
ur,hi,Apertium,True
