SOURCE LANGUAGE,TARGET LANGUAGE,TRANSLATION ENGINE,IS PREFERRED ENGINE?
en,as,Flores,False
en,ast,Flores,False
en,ay,Flores,False
en,ba,Flores,False
en,ckb,Flores,False
en,ha,Flores,False
en,ig,Flores,True
en,ilo,Flores,False
en,is,Flores,True
en,kg,Flores,False
en,ln,Flores,False
en,lg,Flores,False
en,nso,Flores,False
en,oc,Flores,True
en,om,Flores,False
en,ss,Flores,False
en,tn,Flores,False
en,ts,Flores,False
en,wo,Flores,False
en,yue,Flores,False
en,zh,Flores,False
en,zu,Flores,False
ca,oc,Flores,False
es,as,Flores,False
es,ast,Flores,False
es,ay,Flores,False
es,ba,Flores,False
es,ckb,Flores,False
es,ha,Flores,False
es,ig,Flores,False
es,ilo,Flores,False
es,is,Flores,False
es,kg,Flores,False
es,ln,Flores,False
es,lg,Flores,False
es,nso,Flores,False
es,oc,Flores,False
es,om,Flores,False
es,ss,Flores,False
es,ti,Flores,False
es,tn,Flores,False
es,ts,Flores,False
es,yue,Flores,False
es,zh,Flores,False
es,zu,Flores,False
fr,as,Flores,False
fr,ast,Flores,False
fr,ay,Flores,False
fr,ba,Flores,False
fr,ckb,Flores,False
fr,ha,Flores,False
fr,ig,Flores,False
fr,ilo,Flores,False
fr,is,Flores,False
fr,kg,Flores,False
fr,ln,Flores,False
fr,lg,Flores,False
fr,nso,Flores,False
fr,oc,Flores,False
fr,om,Flores,False
fr,ss,Flores,False
fr,ti,Flores,False
fr,tn,Flores,False
fr,ts,Flores,False
fr,wo,Flores,False
fr,yue,Flores,False
fr,zh,Flores,False
fr,zu,Flores,False
pt,oc,Flores,False
ru,ba,Flores,False
zh,yue,Flores,False
