SOURCE LANGUAGE,TARGET LANGUAGE,TRANSLATION ENGINE,IS PREFERRED ENGINE?
af,am,Google,False
af,ar,Google,False
af,arz,Google,False
af,as,Google,False
af,ay,Google,False
af,az,Google,False
af,be,Google,False
af,be-tarask,Google,False
af,bg,Google,False
af,bho,Google,False
af,bm,Google,False
af,bn,Google,False
af,bs,Google,False
af,ca,Google,False
af,ceb,Google,False
af,ckb,Google,False
af,co,Google,False
af,cs,Google,False
af,cy,Google,False
af,da,Google,False
af,de,Google,False
af,dv,Google,False
af,ee,Google,False
af,el,Google,False
af,en,Google,False
af,eo,Google,False
af,es,Google,False
af,et,Google,False
af,eu,Google,False
af,fa,Google,False
af,fi,Google,False
af,fr,Google,False
af,fy,Google,False
af,ga,Google,False
af,gan,Google,False
af,gd,Google,False
af,gl,Google,False
af,gn,Google,False
af,gom,Google,False
af,gu,Google,False
af,ha,Google,False
af,haw,Google,False
af,he,Google,False
af,hi,Google,False
af,hr,Google,False
af,ht,Google,False
af,hu,Google,False
af,hy,Google,False
af,id,Google,False
af,ig,Google,False
af,ilo,Google,False
af,is,Google,False
af,it,Google,False
af,ja,Google,False
af,jv,Google,False
af,ka,Google,False
af,kk,Google,False
af,km,Google,False
af,kn,Google,False
af,ko,Google,False
af,ku,Google,False
af,ky,Google,False
af,la,Google,False
af,lb,Google,False
af,lg,Google,False
af,ln,Google,False
af,lo,Google,False
af,lt,Google,False
af,lv,Google,False
af,mai,Google,False
af,mg,Google,False
af,mi,Google,False
af,mk,Google,False
af,ml,Google,False
af,mn,Google,False
af,mni,Google,False
af,mr,Google,False
af,ms,Google,False
af,mt,Google,False
af,my,Google,False
af,ne,Google,False
af,nl,Google,False
af,False,Google,False
af,nso,Google,False
af,ny,Google,False
af,om,Google,False
af,or,Google,False
af,pa,Google,False
af,pl,Google,False
af,ps,Google,False
af,pt,Google,False
af,qu,Google,False
af,ro,Google,False
af,ru,Google,False
af,rw,Google,False
af,sa,Google,False
af,sd,Google,False
af,sh,Google,False
af,si,Google,False
af,simple,Google,False
af,sk,Google,False
af,sl,Google,False
af,sm,Google,False
af,sn,Google,False
af,so,Google,False
af,sq,Google,False
af,sr,Google,False
af,st,Google,False
af,su,Google,False
af,sv,Google,False
af,sw,Google,False
af,ta,Google,False
af,te,Google,False
af,tg,Google,False
af,th,Google,False
af,ti,Google,False
af,tk,Google,False
af,tl,Google,False
af,tr,Google,False
af,ts,Google,False
af,tt,Google,False
af,tw,Google,False
af,ug,Google,False
af,uk,Google,False
af,ur,Google,False
af,uz,Google,False
af,vi,Google,False
af,wuu,Google,False
af,xh,Google,False
af,yi,Google,False
af,yo,Google,False
af,yue,Google,False
af,zh,Google,True
af,zu,Google,False
am,af,Google,False
am,ar,Google,False
am,arz,Google,False
am,as,Google,False
am,ay,Google,False
am,az,Google,False
am,be,Google,False
am,be-tarask,Google,False
am,bg,Google,False
am,bho,Google,False
am,bm,Google,False
am,bn,Google,False
