SOURCE LANGUAGE,TARGET LANGUAGE,TRANSLATION ENGINE,IS PREFERRED ENGINE?
af,am,Yandex,False
af,ar,Yandex,False
af,az,Yandex,False
af,ba,Yandex,False
af,be,Yandex,False
af,be-tarask,Yandex,False
af,bn,Yandex,False
af,bg,Yandex,False
af,bs,Yandex,False
af,ca,Yandex,False
af,ceb,Yandex,False
af,cs,Yandex,False
af,cv,Yandex,False
af,cy,Yandex,False
af,da,Yandex,False
af,de,Yandex,False
af,el,Yandex,False
af,en,Yandex,False
af,eo,Yandex,False
af,es,Yandex,False
af,et,Yandex,False
af,eu,Yandex,False
af,fa,Yandex,False
af,fi,Yandex,False
af,fr,Yandex,False
af,ga,Yandex,False
af,gd,Yandex,False
af,gl,Yandex,False
af,gu,Yandex,False
af,he,Yandex,False
af,hi,Yandex,False
af,hr,Yandex,False
af,ht,Yandex,False
af,hu,Yandex,False
af,hy,Yandex,False
af,id,Yandex,False
af,is,Yandex,False
af,it,Yandex,False
af,ja,Yandex,False
af,jv,Yandex,False
af,ka,Yandex,False
af,kk,Yandex,False
af,km,Yandex,False
af,kn,Yandex,False
af,ko,Yandex,False
af,ky,Yandex,False
af,la,Yandex,False
af,lb,Yandex,False
af,lo,Yandex,False
af,lt,Yandex,False
af,lv,Yandex,False
af,mi,Yandex,False
af,mg,Yandex,False
af,mhr,Yandex,False
af,ml,Yandex,False
af,mk,Yandex,False
af,mn,Yandex,False
af,mrj,Yandex,False
af,mr,Yandex,False
af,ms,Yandex,False
af,mt,Yandex,False
af,my,Yandex,False
af,nb,Yandex,False
af,ne,Yandex,False
af,nl,Yandex,False
af,pa,Yandex,False
af,pap,Yandex,False
af,pl,Yandex,False
af,pt,Yandex,False
af,ro,Yandex,False
af,ru,Yandex,False
af,sah,Yandex,False
af,sh,Yandex,False
af,si,Yandex,False
af,simple,Yandex,False
af,sk,Yandex,False
af,sl,Yandex,False
af,sq,Yandex,False
af,sr,Yandex,False
af,su,Yandex,False
af,sv,Yandex,False
af,sw,Yandex,False
af,ta,Yandex,False
af,te,Yandex,False
af,tg,Yandex,False
af,th,Yandex,False
af,tl,Yandex,False
af,tr,Yandex,False
af,tt,Yandex,False
af,udm,Yandex,False
af,uk,Yandex,False
af,ur,Yandex,False
af,uz,Yandex,False
af,vi,Yandex,False
af,wuu,Yandex,False
af,xh,Yandex,False
af,yi,Yandex,False
af,zh,Yandex,False
am,af,Yandex,False
am,ar,Yandex,False
am,az,Yandex,False
am,ba,Yandex,False
am,be,Yandex,False
am,be-tarask,Yandex,False
am,bn,Yandex,False
am,bg,Yandex,False
am,bs,Yandex,False
am,ca,Yandex,False
am,ceb,Yandex,False
am,cs,Yandex,False
am,cv,Yandex,False
am,cy,Yandex,False
am,da,Yandex,False
am,de,Yandex,False
am,el,Yandex,False
am,en,Yandex,False
am,eo,Yandex,False
am,es,Yandex,False
am,et,Yandex,False
am,eu,Yandex,False
am,fa,Yandex,False
am,fi,Yandex,False
am,fr,Yandex,False
am,ga,Yandex,False
am,gd,Yandex,False
am,gl,Yandex,False
am,gu,Yandex,False
am,he,Yandex,False
am,hi,Yandex,False
am,hr,Yandex,False
am,ht,Yandex,False
am,hu,Yandex,False
am,hy,Yandex,False
am,id,Yandex,False
am,is,Yandex,False
am,it,Yandex,False
am,ja,Yandex,False
am,jv,Yandex,False
am,ka,Yandex,False
am,kk,Yandex,False
am,km,Yandex,False
am,kn,Yandex,False
am,ko,Yandex,False
am,ky,Yandex,False
am,la,Yandex,False
am,lb,Yandex,False
am,lo,Yandex,False
am,lt,Yandex,False
am,lv,Yandex,False
am,mi,Yandex,False
am,mg,Yandex,False
am,mhr,Yandex,False
am,ml,Yandex,False
am,mk,Yandex,False
am,mn,Yandex,False
am,mrj,Yandex,False
am,mr,Yandex,False
am,ms,Yandex,False
am,mt,Yandex,False
am,my,Yandex,False
am,nb,Yandex,False
am,ne,Yandex,False
am,nl,Yandex,False
am,pa,Yandex,False
am,pap,Yandex,False
am,pl,Yandex,False
am,pt,Yandex,False
am,ro,Yandex,False
am,ru,Yandex,False
am,sah,Yandex,False
am,sh,Yandex,False
am,si,Yandex,False
am,simple,Yandex,False
am,sk,Yandex,False
am,sl,Yandex,False
am,sq,Yandex,False
am,sr,Yandex,False
am,su,Yandex,False
am,sv,Yandex,False
am,sw,Yandex,False
am,ta,Yandex,False
am,te,Yandex,False
am,tg,Yandex,False
am,th,Yandex,False
am,tl,Yandex,False
am,tr,Yandex,False
am,tt,Yandex,False
am,udm,Yandex,False
am,uk,Yandex,False
am,ur,Yandex,False
am,uz,Yandex,False
am,vi,Yandex,False
am,wuu,Yandex,False
am,xh,Yandex,False
am,yi,Yandex,False
am,zh,Yandex,False
ar,af,Yandex,False
ar,am,Yandex,False
ar,az,Yandex,False
ar,ba,Yandex,False
ar,be,Yandex,False
ar,be-tarask,Yandex,False
ar,bn,Yandex,False
ar,bg,Yandex,False
ar,bs,Yandex,False
ar,ca,Yandex,False
